time,flux,sigma
0.000000000000000000e+00,6.714075394794868923e-02,9.900382502707176513e-02
1.669449081803004997e-01,8.250344897408326550e-02,8.833138197420273285e-02
3.338898163606009994e-01,3.108990812488321431e-02,1.048160097541791791e-01
5.008347245409014992e-01,1.687740217938590859e-01,9.093570342667664508e-02
6.677796327212019989e-01,2.186886703440820978e-01,1.020009828340650293e-01
8.347245409015024986e-01,-4.214785312174720161e-02,8.577253671241216737e-02
1.001669449081802998e+00,-9.988419093360685619e-02,9.444337692622217784e-02
1.168614357262103498e+00,7.984534739278366378e-02,1.041078387929308124e-01
1.335559265442403998e+00,5.398249162380247546e-02,9.190964635017122297e-02
1.502504173622704498e+00,6.809215879805913252e-02,8.484722119568269272e-02
1.669449081803004997e+00,-4.951228467475232015e-02,9.946946667945942566e-02
1.836393989983305497e+00,-1.050929909995484690e-01,1.025997741768317761e-01
2.003338898163605997e+00,-1.384863127378704699e-02,8.840577906119281848e-02
2.170283806343906718e+00,1.624389928609031863e-01,9.354085583697205331e-02
2.337228714524206996e+00,-2.163680046761136053e-02,1.070134673715819607e-01
2.504173622704507274e+00,7.389580428793633693e-02,1.061595689357275607e-01
2.671118530884807996e+00,-5.697468813134423660e-02,1.012156282935254697e-01
2.838063439065108717e+00,-8.597497312650641266e-02,9.772701798471220003e-02
3.005008347245408995e+00,-8.367192704499784583e-02,1.045214681119137623e-01
3.171953255425709273e+00,-2.026271412496572222e-01,1.072293393829951702e-01
3.338898163606009994e+00,-1.756625907410038628e-02,8.007522679003770127e-02
3.505843071786310716e+00,1.243926231565908869e-01,9.191683298701285032e-02
3.672787979966610994e+00,5.483114033901530932e-02,9.684229051155444912e-02
3.839732888146911272e+00,2.488903223409023868e-02,1.020176940885463013e-01
4.006677796327211993e+00,1.044072803996409643e-01,8.262418286555130165e-02
4.173622704507512715e+00,2.331404900013658854e-01,9.199264963042594334e-02
4.340567612687813437e+00,3.312906989973211092e-01,8.838863538349546467e-02
4.507512520868113270e+00,2.697650380281295113e-01,9.270530159315548691e-02
4.674457429048413992e+00,4.095124722533762252e-01,9.493935898019864594e-02
4.841402337228714714e+00,5.571105171099747233e-01,9.980045670578152617e-02
5.008347245409014548e+00,6.567574668054054765e-01,9.488708416910837662e-02
5.175292153589315269e+00,4.698346640033158605e-01,9.861404601815570992e-02
5.342237061769615991e+00,6.416663189356911490e-01,9.747319585667668651e-02
5.509181969949916713e+00,6.025814139056382412e-01,9.284997194116569041e-02
5.676126878130217435e+00,7.449804134376740716e-01,8.014929094133796394e-02
5.843071786310517268e+00,8.474175103800278830e-01,8.583549241578805611e-02
6.010016694490817990e+00,1.018605054372021090e+00,8.960619962858866472e-02
6.176961602671118712e+00,8.048995966002809865e-01,8.440934377564794644e-02
6.343906510851418545e+00,8.001600040313859852e-01,9.795991644819307398e-02
6.510851419031719267e+00,6.770546773929186912e-01,9.834498429978807965e-02
6.677796327212019989e+00,6.323260225388145361e-01,9.500279778790789165e-02
6.844741235392320711e+00,6.141806654290774548e-01,8.962546704802593078e-02
7.011686143572621432e+00,7.433129774539493084e-01,9.959774156073362972e-02
7.178631051752921266e+00,4.467401929593753374e-01,8.570850448037131697e-02
7.345575959933221988e+00,5.071449723181509217e-01,8.017642944333884525e-02
7.512520868113522710e+00,3.212314385623687429e-01,1.020482605605188414e-01
7.679465776293822543e+00,1.878135961941076459e-01,9.330511525711805698e-02
7.846410684474123265e+00,1.942451647061097519e-01,1.009352496814954481e-01
8.013355592654423987e+00,1.840894369966299127e-02,8.555130048910927765e-02
8.180300500834723820e+00,-1.394157642368414329e-01,8.187859405951745939e-02
8.347245409015025430e+00,-2.435523962921068986e-01,9.134325760349064349e-02
8.514190317195325264e+00,-4.517286160754059310e-01,1.008798953133648174e-01
8.681135225375626874e+00,-5.903721724973413076e-01,8.308455102362947986e-02
8.848080133555926707e+00,-6.618924776306044366e-01,8.587502701024977980e-02
9.015025041736226541e+00,-8.078224432258701571e-01,9.361857951219559881e-02
9.181969949916528151e+00,-7.426618227850079190e-01,9.863447569080938115e-02
9.348914858096827984e+00,-8.858200999762095851e-01,1.025037274420695504e-01
9.515859766277127818e+00,-9.876480334263283423e-01,8.329205063856970348e-02
9.682804674457429428e+00,-9.046012522586303062e-01,9.873870821466923520e-02
9.849749582637729262e+00,-8.585733185680463064e-01,9.162081566433442903e-02
1.001669449081802910e+01,-9.130895086712828013e-01,1.001027110624342076e-01
1.018363939899833071e+01,-8.208430022897210687e-01,8.610681132985704977e-02
1.035058430717863054e+01,-9.775778363081516487e-01,9.583756392592193696e-02
1.051752921535893215e+01,-7.414016104464470347e-01,8.516487664867798679e-02
1.068447412353923198e+01,-8.278997260104445921e-01,8.056043017989125699e-02
1.085141903171953182e+01,-7.077323332397881250e-01,9.460850739271871312e-02
1.101836393989983343e+01,-6.632919754375173893e-01,8.552533329682679430e-02
1.118530884808013326e+01,-5.781173901757993283e-01,9.915029990010162941e-02
1.135225375626043487e+01,-1.981381811377583291e-01,9.609724458021298710e-02
1.151919866444073470e+01,-1.081521347495073004e-01,1.032483613999323757e-01
1.168614357262103454e+01,-1.938256180394822281e-01,9.178879707902609653e-02
1.185308848080133615e+01,-3.734607003769843669e-02,1.096835639250875877e-01
1.202003338898163598e+01,2.228027828100162186e-02,9.545644088486221479e-02
1.218697829716193581e+01,2.808255878645752324e-01,9.436470203556415748e-02
1.235392320534223742e+01,3.998693056967891901e-02,1.024832741225650823e-01
1.252086811352253726e+01,5.148303084714702660e-01,9.718064879877245932e-02
1.268781302170283709e+01,3.496939280342438727e-01,9.087395951900076319e-02
1.285475792988313870e+01,7.559933287874960328e-01,9.467734356380426430e-02
1.302170283806343853e+01,8.502664765907491651e-01,8.567415124816549210e-02
1.318864774624374014e+01,6.135135872548805880e-01,9.180750242890585444e-02
1.335559265442403998e+01,7.568731932093233361e-01,8.089885257572146382e-02
1.352253756260433981e+01,8.754112432542047184e-01,9.387587181026608996e-02
1.368948247078464142e+01,9.963509702751335295e-01,8.823422338410712162e-02
1.385642737896494125e+01,7.828016538294040316e-01,9.580147581075847130e-02
1.402337228714524286e+01,9.990979362005545372e-01,8.087816364209338138e-02
1.419031719532554270e+01,1.107131704504460634e+00,9.665260299566523494e-02
1.435726210350584253e+01,1.118675716517711471e+00,8.878993650885072531e-02
1.452420701168614414e+01,1.109522156681973959e+00,9.732472043040642229e-02
1.469115191986644398e+01,8.952939534223194329e-01,1.019830955978409948e-01
1.485809682804674381e+01,7.993004528414900944e-01,9.321013480389313266e-02
1.502504173622704542e+01,6.752166515392286072e-01,9.989470468645897383e-02
1.519198664440734525e+01,8.885395068113580708e-01,8.716729864610636702e-02
1.535893155258764509e+01,4.505100488489965915e-01,1.099579726575943966e-01
1.552587646076794670e+01,4.752341202916267604e-01,8.728635564859302254e-02
1.569282136894824653e+01,2.676975547933040933e-01,1.082248524314457505e-01
