time,flux,sigma
0.000000000000000000e+00,3.682984180930914953e-01,1.000000000000000056e-01
1.669449081803004997e-01,7.238785161686357716e-02,1.000000000000000056e-01
3.338898163606009994e-01,-1.684504032997729828e-01,1.000000000000000056e-01
5.008347245409014992e-01,-1.640279977942455947e-01,1.000000000000000056e-01
6.677796327212019989e-01,2.687847335820648387e-01,1.000000000000000056e-01
8.347245409015024986e-01,-1.898714421339672553e-01,1.000000000000000056e-01
1.001669449081802998e+00,1.493617103394084378e+00,1.000000000000000056e-01
1.168614357262103498e+00,5.999569344546000771e-01,1.000000000000000056e-01
1.335559265442403998e+00,6.850829176071682181e-01,1.000000000000000056e-01
1.502504173622704498e+00,9.918926337658141579e-01,1.000000000000000056e-01
1.669449081803004997e+00,1.405772679769893063e+00,1.000000000000000056e-01
1.836393989983305497e+00,5.758205112229182188e-01,1.000000000000000056e-01
2.003338898163605997e+00,1.038094836759307915e+00,1.000000000000000056e-01
2.170283806343906718e+00,8.337141590908735411e-01,1.000000000000000056e-01
2.337228714524206996e+00,9.003902334265152518e-01,1.000000000000000056e-01
2.504173622704507274e+00,4.790984976032693909e-01,1.000000000000000056e-01
2.671118530884807996e+00,1.046152752178421963e+00,1.000000000000000056e-01
2.838063439065108717e+00,2.980428554018931808e-01,1.000000000000000056e-01
3.005008347245408995e+00,1.006106094182885213e+00,1.000000000000000056e-01
3.171953255425709273e+00,5.826275528652571367e-01,1.000000000000000056e-01
3.338898163606009994e+00,2.163409884164362029e-01,1.000000000000000056e-01
3.505843071786310716e+00,2.277990091951478113e-01,1.000000000000000056e-01
3.672787979966610994e+00,7.677384058045224613e-01,1.000000000000000056e-01
3.839732888146911272e+00,3.753060274692284204e-01,1.000000000000000056e-01
4.006677796327211993e+00,5.103174306595170684e-01,1.000000000000000056e-01
4.173622704507512715e+00,-2.296855846468852658e-01,1.000000000000000056e-01
4.340567612687813437e+00,-3.625309631380510544e-02,1.000000000000000056e-01
4.507512520868113270e+00,-6.267233438294576020e-01,1.000000000000000056e-01
4.674457429048413992e+00,-3.611588587956622853e-01,1.000000000000000056e-01
